count,date
9587,2013-09-01
17997,2013-09-02
17662,2013-09-03
19129,2013-09-04
22108,2013-09-05
17344,2013-09-06
5954,2013-09-07
4044,2013-09-08
34094,2013-09-09
21778,2013-09-10
22230,2013-09-11
19625,2013-09-12
13969,2013-09-13
9925,2013-09-14
7148,2013-09-15
22698,2013-09-16
24447,2013-09-17
18864,2013-09-18
20057,2013-09-19
10585,2013-09-20
8054,2013-09-21
8670,2013-09-22
14919,2013-09-23
16534,2013-09-24
20326,2013-09-25
12546,2013-09-26
20808,2013-09-27
6946,2013-09-28
9760,2013-09-29
16363,2013-09-30
14447,2013-10-01
13123,2013-10-02
13679,2013-10-03
11795,2013-10-04
6576,2013-10-05
4100,2013-10-06
10585,2013-10-07
25623,2013-10-08
20021,2013-10-09
20659,2013-10-10
21768,2013-10-11
11776,2013-10-12
6601,2013-10-13
22064,2013-10-14
18428,2013-10-15
20151,2013-10-16
19049,2013-10-17
22564,2013-10-18
5906,2013-10-19
8580,2013-10-20
15750,2013-10-21
17678,2013-10-22
17831,2013-10-23
18822,2013-10-24
13600,2013-10-25
3901,2013-10-26
13837,2013-10-27
10691,2013-10-28
21362,2013-10-29
17197,2013-10-30
18028,2013-10-31
19025,2013-11-01
5946,2013-11-02
5778,2013-11-03
14398,2013-11-04
28685,2013-11-05
23100,2013-11-06
12130,2013-11-07
22455,2013-11-08
16749,2013-11-09
4854,2013-11-10
17289,2013-11-11
25616,2013-11-12
18420,2013-11-13
22562,2013-11-14
40254,2013-11-15
11334,2013-11-16
6518,2013-11-17
27340,2013-11-18
29544,2013-11-19
20629,2013-11-20
23149,2013-11-21
18877,2013-11-22
5509,2013-11-23
14664,2013-11-24
17007,2013-11-25
24340,2013-11-26
19970,2013-11-27
24241,2013-11-28
21970,2013-11-29
16485,2013-11-30
5981,2013-12-01
19510,2013-12-02
22831,2013-12-03
26281,2013-12-04
23142,2013-12-05
26199,2013-12-06
10531,2013-12-07
8828,2013-12-08
24050,2013-12-09
29288,2013-12-10
28505,2013-12-11
26983,2013-12-12
21285,2013-12-13
6791,2013-12-14
8435,2013-12-15
25337,2013-12-16
27356,2013-12-17
27541,2013-12-18
27682,2013-12-19
18612,2013-12-20
6829,2013-12-21
6639,2013-12-22
21284,2013-12-23
25865,2013-12-24
16475,2013-12-25
20743,2013-12-26
21809,2013-12-27
7639,2013-12-28
9221,2013-12-29
20964,2013-12-30
20210,2013-12-31
7410,2014-01-01
21208,2014-01-02
17445,2014-01-03
8721,2014-01-04
9933,2014-01-05
20985,2014-01-06
21887,2014-01-07
25767,2014-01-08
17107,2014-01-09
24669,2014-01-10
10260,2014-01-11
18462,2014-01-12
15028,2014-01-13
21458,2014-01-14
27295,2014-01-15
21844,2014-01-16
25921,2014-01-17
11579,2014-01-18
12321,2014-01-19
15889,2014-01-20
20038,2014-01-21
24699,2014-01-22
23699,2014-01-23
20883,2014-01-24
6479,2014-01-25
11036,2014-01-26
14576,2014-01-27
15558,2014-01-28
14942,2014-01-29
10293,2014-01-30
7401,2014-01-31
6388,2014-02-01
5962,2014-02-02
7300,2014-02-03
8488,2014-02-04
6824,2014-02-05
8723,2014-02-06
16228,2014-02-07
15256,2014-02-08
4378,2014-02-09
16054,2014-02-10
31164,2014-02-11
17120,2014-02-12
20204,2014-02-13
14011,2014-02-14
9081,2014-02-15
10465,2014-02-16
18086,2014-02-17
19358,2014-02-18
20489,2014-02-19
19011,2014-02-20
18267,2014-02-21
15657,2014-02-22
11285,2014-02-23
14077,2014-02-24
17377,2014-02-25
24681,2014-02-26
18923,2014-02-27
17145,2014-02-28
9948,2014-03-01
11628,2014-03-02
22987,2014-03-03
16337,2014-03-04
30044,2014-03-05
16128,2014-03-06
21169,2014-03-07
10248,2014-03-08
9692,2014-03-09
16613,2014-03-10
15689,2014-03-11
15610,2014-03-12
22144,2014-03-13
18725,2014-03-14
12641,2014-03-15
10502,2014-03-16
13451,2014-03-17
18741,2014-03-18
14637,2014-03-19
20551,2014-03-20
19143,2014-03-21
5801,2014-03-22
8543,2014-03-23
15929,2014-03-24
14392,2014-03-25
16119,2014-03-26
22685,2014-03-27
18231,2014-03-28
11182,2014-03-29
4469,2014-03-30
14896,2014-03-31
15318,2014-04-01
13554,2014-04-02
16955,2014-04-03
21154,2014-04-04
6764,2014-04-05
3883,2014-04-06
12969,2014-04-07
13962,2014-04-08
18870,2014-04-09
24706,2014-04-10
20273,2014-04-11
8343,2014-04-12
8180,2014-04-13
13225,2014-04-14
20132,2014-04-15
18781,2014-04-16
21751,2014-04-17
31942,2014-04-18
7553,2014-04-19
7473,2014-04-20
21227,2014-04-21
18463,2014-04-22
20322,2014-04-23
19957,2014-04-24
19563,2014-04-25
14558,2014-04-26
6520,2014-04-27
19212,2014-04-28
18100,2014-04-29
16319,2014-04-30
22603,2014-05-01
20797,2014-05-02
6519,2014-05-03
8122,2014-05-04
23112,2014-05-05
26287,2014-05-06
30132,2014-05-07
23147,2014-05-08
25082,2014-05-09
6397,2014-05-10
6092,2014-05-11
26633,2014-05-12
31532,2014-05-13
18420,2014-05-14
30702,2014-05-15
26632,2014-05-16
6368,2014-05-17
6777,2014-05-18
29089,2014-05-19
19773,2014-05-20
28295,2014-05-21
27985,2014-05-22
24723,2014-05-23
9927,2014-05-24
11005,2014-05-25
20767,2014-05-26
18457,2014-05-27
22927,2014-05-28
18426,2014-05-29
22233,2014-05-30
9429,2014-05-31
2832,2014-06-01
7288,2014-06-02
17883,2014-06-03
20185,2014-06-04
21941,2014-06-05
25789,2014-06-06
11206,2014-06-07
5046,2014-06-08
15592,2014-06-09
27426,2014-06-10
21083,2014-06-11
18637,2014-06-12
22209,2014-06-13
9243,2014-06-14
9956,2014-06-15
14430,2014-06-16
13003,2014-06-17
16870,2014-06-18
20434,2014-06-19
18724,2014-06-20
8084,2014-06-21
7263,2014-06-22
14805,2014-06-23
16764,2014-06-24
16554,2014-06-25
14621,2014-06-26
11458,2014-06-27
6948,2014-06-28
7137,2014-06-29
15739,2014-06-30
21097,2014-07-01
13725,2014-07-02
17849,2014-07-03
13916,2014-07-04
4795,2014-07-05
5400,2014-07-06
15523,2014-07-07
15302,2014-07-08
31874,2014-07-09
26627,2014-07-10
17703,2014-07-11
6025,2014-07-12
9478,2014-07-13
14444,2014-07-14
25227,2014-07-15
31846,2014-07-16
26405,2014-07-17
16103,2014-07-18
7683,2014-07-19
17641,2014-07-20
22422,2014-07-21
26265,2014-07-22
21960,2014-07-23
19626,2014-07-24
21212,2014-07-25
4474,2014-07-26
4674,2014-07-27
10790,2014-07-28
20467,2014-07-29
17231,2014-07-30
27350,2014-07-31
22353,2014-08-01
7815,2014-08-02
7127,2014-08-03
19132,2014-08-04
17229,2014-08-05
19427,2014-08-06
17638,2014-08-07
18011,2014-08-08
11054,2014-08-09
8013,2014-08-10
13699,2014-08-11
22080,2014-08-12
29463,2014-08-13
28327,2014-08-14
26160,2014-08-15
6055,2014-08-16
8536,2014-08-17
25745,2014-08-18
27367,2014-08-19
14226,2014-08-20
20842,2014-08-21
18590,2014-08-22
7380,2014-08-23
7952,2014-08-24
23837,2014-08-25
17397,2014-08-26
18773,2014-08-27
25209,2014-08-28
18255,2014-08-29
6741,2014-08-30
9279,2014-08-31
17359,2014-09-01
19823,2014-09-02
21149,2014-09-03
21090,2014-09-04
16795,2014-09-05
6888,2014-09-06
4610,2014-09-07
12394,2014-09-08
22097,2014-09-09
23957,2014-09-10
15379,2014-09-11
18502,2014-09-12
11285,2014-09-13
4292,2014-09-14
25097,2014-09-15
42907,2014-09-16
45754,2014-09-17
29019,2014-09-18
24711,2014-09-19
7915,2014-09-20
5775,2014-09-21
26581,2014-09-22
35592,2014-09-23
34345,2014-09-24
26212,2014-09-25
28100,2014-09-26
6691,2014-09-27
