 ,BETA,BOOK-TO-PRICE,EARNINGS YIELD,GROWTH,LEVERAGE,LIQUIDITY,MOMENTUM,NON-LINEAR SIZE,RESIDUAL VOLATILITY,SIZE
16-03-2017,0.1801,-0.1293,0.053,-0.0925,0.0179,0.1954,-0.0173,0.0463,-0.0191,-0.211
15-03-2017,-0.0917,-0.0771,0.0913,-0.0094,0.0622,-0.015,0.028,-0.1136,-0.1747,0.0224
14-03-2017,0.0028,-0.0229,0.0395,-0.0412,0.0195,-0.041,0.0675,-0.1279,0.1107,0.0117
13-03-2017,0.1517,-0.0959,0.2409,0.0682,-0.0122,0.0809,0.0145,-0.0325,-0.1019,0.0258
10-03-2017,0.0587,-0.076,0.1428,0.0332,-0.0081,-0.0471,0.2132,0.0252,0.0489,0.0142
09-03-2017,-0.1397,-0.0149,-0.09,-0.015,-0.0255,-0.0677,-0.0406,-0.07,0.0183,-0.049
08-03-2017,-0.0767,-0.0707,-0.0484,0.0046,0.0039,0.0481,0.1457,-0.0152,-0.0167,-0.0103
07-03-2017,-0.016,-0.1417,0.1024,0.0095,-0.1165,-0.0846,-0.0925,-0.0829,0.0168,-0.1219
06-03-2017,0.2276,-0.0962,0.0347,0.0255,-0.0055,-0.0627,-0.0461,-0.0567,0.0171,-0.1343
03-03-2017,0.1141,-0.0586,0.1092,0.0743,-0.0446,-0.1835,0.0216,0.0994,0.0552,-0.0837
02-03-2017,-0.0701,-0.2904,0.1148,-0.0227,0.0307,-0.0292,0.0154,0.0688,-0.2054,-0.0202
01-03-2017,0.0614,0.0437,-0.0988,-0.0162,0.0658,-0.061,0.0131,-0.0869,0.0568,0.0479
28-02-2017,0.2332,-0.0958,0.0703,-0.0841,-0.026,0.1057,-0.0231,-0.0687,0.0338,0.0816
27-02-2017,-0.1926,-0.0547,-0.1415,0.0803,-0.0855,-0.1723,0.0099,-0.1559,0.085,-0.0061
24-02-2017,-0.0483,-0.1788,-0.0329,0.0133,0.0267,-0.0911,-0.0939,-0.1778,0.0924,-0.1098
23-02-2017,0.0555,-0.3222,0.1583,0.0694,-0.0784,-0.1756,-0.1508,-0.1174,0.043,-0.0437
22-02-2017,0.091,0.0769,0.1194,-0.0021,0.0175,-0.0632,0.0081,-0.0902,0.0327,-0.0495
21-02-2017,0.1728,-0.0244,0.0389,0.0409,-0.0841,-0.0373,-0.1311,-0.1507,0.1746,-0.1167
20-02-2017,0.1244,0.3655,0.2002,0.0061,-0.0173,0.0602,0.0319,0.0606,-0.1096,0.1333
17-02-2017,-0.1352,-0.0563,-0.1573,0.0438,-0.026,-0.172,0.0497,-0.0207,-0.1773,0.1601
16-02-2017,0.0828,0.1135,-0.0617,-0.0541,0.0987,0.1347,-0.1059,-0.1091,-0.1195,-0.0238
15-02-2017,-0.2889,-0.1802,0.0389,-0.083,-0.0383,-0.0563,-0.0142,-0.1535,-0.1803,-0.1655
14-02-2017,0.0268,0.0745,0.0624,0.0096,0.0182,0.0757,0.0283,-0.1279,-0.0223,-0.0307
13-02-2017,0.1117,-0.1352,0.1765,-0.0164,-0.009,0.0892,-0.0262,-0.0947,-0.0133,-0.1438
10-02-2017,0.029,0.3214,-0.0369,-0.0761,0.2614,-0.0994,0.0618,-0.1568,-0.1759,0.1121
09-02-2017,0.168,0.0895,0.0394,0.0118,0.0096,-0.0972,-0.1153,-0.1469,0.1216,-0.1167
08-02-2017,0.2302,-0.0502,0.0007,0.0394,0.0523,0.0618,-0.0751,-0.159,-0.0144,-0.133
07-02-2017,-0.0998,0.0928,-0.0417,-0.0615,0.0056,0.1421,0.0485,-0.0802,0.1718,-0.199
06-02-2017,0.1525,-0.1407,0.2345,-0.0194,-0.0911,0.0242,-0.0513,-0.1347,0.1216,-0.4179
